RHEA_ID	DIRECTION	MASTER_ID	ID
13238	LR	13237	R-HSA-449715.3
13254	LR	13253	R-HSA-1855172.3
13254	LR	13253	R-HSA-994140.4
13282	LR	13281	R-HSA-70837.7
13283	RL	13281	R-HSA-508369.7
13286	LR	13285	R-HSA-174367.4
13434	LR	13433	R-HSA-73608.5
13446	LR	13445	R-HSA-8938300.3
13510	LR	13509	R-HSA-446204.2
13558	LR	13557	R-HSA-174394.5
13590	LR	13589	R-HSA-70773.8
13591	RL	13589	R-HSA-508308.7
13609	UN	13609	R-HSA-1675910.2
13609	UN	13609	R-HSA-1675921.2
13609	UN	13609	R-HSA-1676134.2
13609	UN	13609	R-HSA-1676168.2
13666	LR	13665	R-HSA-392152.5
13666	LR	13665	R-HSA-74885.3
13678	LR	13677	R-HSA-71303.5
13679	RL	13677	R-HSA-199803.4
13698	LR	13697	R-HSA-8955844.3
13890	LR	13889	R-HSA-196955.4
13905	UN	13905	R-HSA-9846501.1
13930	LR	13929	R-HSA-350604.2
13933	UN	13933	R-HSA-975593.3
13933	UN	13933	R-HSA-975594.2
13934	LR	13933	R-HSA-8848355.4
13942	LR	13941	R-HSA-70349.7
13978	LR	13977	R-HSA-9014741.4
13990	LR	13989	R-HSA-70361.4
14006	LR	14005	R-HSA-1614583.4
14014	LR	14013	R-HSA-176604.3
14018	LR	14017	R-HSA-8869627.4
14018	LR	14017	R-HSA-8869633.4
14079	RL	14077	R-HSA-909776.2
14107	RL	14105	R-HSA-70664.6
14111	RL	14109	R-HSA-6783939.4
14111	RL	14109	R-HSA-6783955.5
14166	LR	14165	R-HSA-8954468.3
14182	LR	14181	R-HSA-71241.7
14206	LR	14205	R-HSA-8876789.3
14331	RL	14329	R-HSA-977333.3
14358	LR	14357	R-HSA-196964.4
14410	LR	14409	R-HSA-6814153.2
14425	UN	14425	R-HSA-1676082.3
14425	UN	14425	R-HSA-3772436.2
14425	UN	14425	R-HSA-8868066.3
14470	LR	14469	R-HSA-71239.3
14502	LR	14501	R-HSA-1614631.3
14506	LR	14505	R-HSA-1655879.4
14542	LR	14541	R-HSA-193385.2
14621	UN	14621	R-HSA-191366.2
14666	LR	14665	R-HSA-74255.7
14730	LR	14729	R-HSA-71496.5
14731	RL	14729	R-HSA-71495.5
14778	LR	14777	R-HSA-76590.6
14802	LR	14801	R-HSA-70486.6
14803	RL	14801	R-HSA-71850.6
14818	LR	14817	R-HSA-71173.6
14838	LR	14837	R-HSA-389862.4
14907	RL	14905	R-HSA-73815.6
14962	LR	14961	R-HSA-5693724.2
14983	RL	14981	R-HSA-193064.4
15011	RL	15009	R-HSA-197972.3
15018	LR	15017	R-HSA-8878787.2
15094	LR	15093	R-HSA-71155.4
15095	RL	15093	R-HSA-517444.4
15099	RL	15097	R-HSA-70920.5
15150	LR	15149	R-HSA-965019.2
15230	LR	15229	R-HSA-446221.3
15283	RL	15281	R-HSA-6807052.3
15306	LR	15305	R-HSA-6797955.2
15325	UN	15325	R-HSA-1482695.3
15326	LR	15325	R-HSA-549112.3
15382	LR	15381	R-HSA-8953398.2
15390	LR	15389	R-HSA-111930.6
